Name,UseCase,"Hardness, target","Tensile Strenght, min","100% Modulus, target","300% Modulus, target","Elongation at break, min","Resilience Bashore, min","Tear Die C, min","Tear Die B, min","Din abrasion (10 N), m?","Cut and chip, 1080 rpm, 0,5 Hz, 10 min","Density, target","Viscosity, target","Dispersion, min",Compresion Set,Abrasion Index,Natural Rubber RSS,Natural Rubber TSR 10 60 CV,Polybutadiene (NR) - Cisamer 1220,Polybutadiene High Cys,SBR,Peptizer,N660,N550,N339,N330,N326,N220,N234,N115,N121,Silica,MR material,Non Reinforcing Filler,Silane,Cabot Endure D63,MWCNT from MRO Gen II,Pasticiser,Aromatic Oil,Naftenic Oil,Paraffinic Process Oil,Pine Tar,C5 Aliphatic Hydrocarbon,Process aid,ZnO,Stearic Acid,6 ppd,TMQ,Micro cristaline wax,TBBS,MBS,CBS,DCBS,MBTS,MBT,DPG,TBzTD,TMTD,Sulfur,Perkalink 900,PVI,Sum Curing System,A/S Ratio,Rubbers Sum
Nocil Ltd - 30,CBS 1,67,30.3,,12.9,610,,,,,,,,,,,,,,,100,,,,,50,,,,,,,,,,,,,,,,,,,3,1,0.5,0.5,,,,1,,,,,,,1.75,,,2.8,0.6,100
Nocil Ltd - 30,"CBS 1,5",69,29,,15.4,520,,,,,,,,,,,,,,,100,,,,,50,,,,,,,,,,,,,,,,,,,3,1,0.5,0.5,,,,1.5,,,,,,,1.75,,,3.3,0.9,100
Nocil Ltd - 30,"TBBS 0,5",68,27,,13.2,540,,,,,,,,,,,,,,,100,,,,,50,,,,,,,,,,,,,,,,,,,3,1,0.5,0.5,,0.5,,,,,,,,,1.75,,,2.3,0.3,100
Nocil Ltd - 30,TBBS 1,68,28.5,,18.3,450,,,,,,,,,,,,,,,100,,,,,50,,,,,,,,,,,,,,,,,,,3,1,0.5,0.5,,1,,,,,,,,,1.75,,,2.8,0.6,100
Nocil Ltd - 30,"TBBS 1,5",69,29.1,,20.5,420,,,,,,,,,,,,,,,100,,,,,50,,,,,,,,,,,,,,,,,,,3,1,0.5,0.5,,1.5,,,,,,,,,1.75,,,3.3,0.9,100
Nocil Ltd - 30,"MBS 0,5",67,29,,12.9,600,,,,,,,,,,,,,,,100,,,,,50,,,,,,,,,,,,,,,,,,,3,1,0.5,0.5,,,0.5,,,,,,,,1.75,,,2.3,0.3,100
Nocil Ltd - 30,MBS 1,68,30.4,,15.5,560,,,,,,,,,,,,,,,100,,,,,50,,,,,,,,,,,,,,,,,,,3,1,0.5,0.5,,,1,,,,,,,,1.75,,,2.8,0.6,100
Nocil Ltd - 30,"MBS 1,5",70,30,,18.6,470,,,,,,,,,,,,,,,100,,,,,50,,,,,,,,,,,,,,,,,,,3,1,0.5,0.5,,,1.5,,,,,,,,1.75,,,3.3,0.9,100
Nocil Ltd - 30,"DCBS 0,5",65,25,,10.8,540,,,,,,,,,,,,,,,100,,,,,50,,,,,,,,,,,,,,,,,,,3,1,0.5,0.5,,,,,0.5,,,,,,1.75,,,2.3,0.3,100
Nocil Ltd - 30,DCBS 1,65,24.3,,10.6,580,,,,,,,,,,,,,,,100,,,,,50,,,,,,,,,,,,,,,,,,,3,1,0.5,0.5,,,,,1,,,,,,1.75,,,2.8,0.6,100
Nocil Ltd - 30,"DCBS 1,5",60,25.6,,12.5,540,,,,,,,,,,,,,,,100,,,,,50,,,,,,,,,,,,,,,,,,,3,1,0.5,0.5,,,,,1.5,,,,,,1.75,,,3.3,0.9,100
Nocil Ltd - 30,"TMTD 0,5",71,25.8,,17.7,520,,,,,,,,,,,,,,,100,,,,,50,,,,,,,,,,,,,,,,,,,3,1,0.5,0.5,,,,,,,,,,0.5,1.75,,,2.3,0.3,100
Nocil Ltd - 30,TMTD 1,73,24,,23.2,310,,,,,,,,,,,,,,,100,,,,,50,,,,,,,,,,,,,,,,,,,3,1,0.5,0.5,,,,,,,,,,1,1.75,,,2.8,0.6,100
Nocil Ltd - 30,"TMTD 1,5",77,19.5,,,200,,,,,,,,,,,,,,,100,,,,,50,,,,,,,,,,,,,,,,,,,3,1,0.5,0.5,,,,,,,,,,1.5,1.75,,,3.3,0.9,100
NR25-0.3,Curative Effect,46,14.5,,,,,,,,,,,,,,100,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,1.5,2,1,,,,,,0.1,,0.2,,,1.5,,,1.8,0.2,100
NR25-0.4,Curative Effect,50,14.8,,,,,,,,,,,,,,100,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,1.5,2,1,,,,,,0.1,,0.3,,,1.5,,,1.9,0.3,100
NR25-0.5,Curative Effect,53,15.2,,,,,,,,,,,,,,100,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,1.5,2,1,,,,,,0.2,,0.3,,,1.5,,,2,0.3,100
NR25-0.3,Curative Effect,47,14.8,,,,,,,,,,,,,,100,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,1.5,2,1,,,,,,0.1,,0.2,,,1.5,,,1.8,0.2,100
NR25-0.4,Curative Effect,50,15.2,,,,,,,,,,,,,,100,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,1.5,2,1,,,,,,0.1,,0.3,,,1.5,,,1.9,0.3,100
NR25-0.5,Curative Effect,53,15.8,,,,,,,,,,,,,,100,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,1.5,2,1,,,,,,0.2,,0.3,,,1.5,,,2,0.3,100
NR25-0.3,Curative Effect,48,14,,,,,,,,,,,,,,100,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,1.5,2,1,,,,,,0.1,,0.2,,,1.5,,,1.8,0.2,100
NR25-0.4,Curative Effect,51,14,,,,,,,,,,,,,,100,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,1.5,2,1,,,,,,0.1,,0.3,,,1.5,,,1.9,0.3,100
NR25-0.5,Curative Effect,54,14.8,,,,,,,,,,,,,,100,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,1.5,2,1,,,,,,0.2,,0.3,,,1.5,,,2,0.3,100
CV1,Type of system,,14.6,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,0.4,,,,,2,,,2.4,0.2,100
CV1,Type of system,,16,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,0.4,2,,,2.4,0.2,100
CV1,Type of system,,14.4,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,0.4,,,,,,,2,,,2.4,0.2,100
SEV1,Type of system,,19.2,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,1.1,,,,,1.5,,,2.6,0.7,100
SEV2,Type of system,,21.7,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,1.1,1.5,,,2.6,0.7,100
SEV3,Type of system,,17.4,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,1.1,,,,,,,1.5,,,2.6,0.7,100
EV1,Type of system,,17.4,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,2,,,,,0.8,,,2.8,2.5,100
EV2,Type of system,,21,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,2,0.8,,,2.8,2.5,100
EV3,Type of system,,17.2,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,2,,,,,,,0.8,,,2.8,2.5,100
